leg_id,full_name,chamber,discrict,party,bills_indroduced,link,bio_page,photo_url
MNL000218,Jeremy R Miller,Senate,31,Republican,22,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15335,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15335,http://www.senate.leg.state.mn.us//graphics/31Miller.jpg
MNL000320,Rich Murray,House,27A,Republican,9,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15362,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15362,http://www.house.leg.state.mn.us/hinfo/memberimgls87/27A.GIF
MNL000321,Pam Myhra,House,40A,Republican,3,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15363,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15363,http://www.house.leg.state.mn.us/hinfo/memberimgls87/40A.GIF
MNL000325,Tim O'Driscoll,House,14A,Republican,6,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15364,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15364,http://www.house.leg.state.mn.us/hinfo/memberimgls87/14A.GIF
MNL000222,John C Pederson,Senate,15,Republican,30,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15336,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15336,http://www.senate.leg.state.mn.us//graphics/15Pederson.jpg
MNL000330,Branden Petersen,House,49B,Republican,3,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15365,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15365,http://www.house.leg.state.mn.us/hinfo/memberimgls87/49B.GIF
MNL000333,Duane Quam,House,29A,Republican,20,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15366,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15366,http://www.house.leg.state.mn.us/hinfo/memberimgls87/29A.GIF
MNL000338,Joe Schomacker,House,22A,Republican,9,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15367,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15367,http://www.house.leg.state.mn.us/hinfo/memberimgls87/22A.GIF
MNL000346,Kirk Stensrud,House,42A,Republican,8,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15368,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15368,http://www.house.leg.state.mn.us/hinfo/memberimgls87/42A.GIF
MNL000347,Chris Swedzinski,House,21A,Republican,6,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15369,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15369,http://www.house.leg.state.mn.us/hinfo/memberimgls87/21A.GIF
MNL000224,Dave Thompson,Senate,36,Republican,39,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15337,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15337,http://www.senate.leg.state.mn.us//graphics/36Thompson.jpg
MNL000352,Bruce Vogel,House,13B,Republican,8,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15370,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15370,http://www.house.leg.state.mn.us/hinfo/memberimgls87/13B.GIF
MNL000355,Doug Wardlow,House,38B,Republican,16,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15372,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15372,http://www.house.leg.state.mn.us/hinfo/memberimgls87/38B.GIF
MNL000225,Pam Wolf,Senate,51,Republican,10,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15338,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15338,http://www.senate.leg.state.mn.us//graphics/51Wolf.jpg
MNL000358,Kelby Woodard,House,25B,Republican,16,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15371,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15371,http://www.house.leg.state.mn.us/hinfo/memberimgls87/25B.GIF
